timestamp,delta,theta,loAlpha,hiAlpha,loBeta,hiBeta,loGamma,midGamma
1476252019,1572901,9306169,10354746,3932187,3670112,10551322,2359316,13041672
1476252020,1573227,12779676,0,0,0,0,0,0
1476252021,1575640,15532382,917574,6029744,14221468,10420294,4849705,15007758
1476252022,1572966,4653150,7471118,15728696,16515170,65583,13107209,2818057
1476252023,1574110,2490628,3997754,10354688,0,0,0,0
1476252024,1572914,7078016,3932193,1179666,7733292,10354739,4456475,6881286
1476252025,1573408,8520455,15532067,6947000,8388763,13762648,10682384,12124169
1476252026,1573111,13762825,15400970,10092588,13565952,0,0,0
1476252027,1573014,14221405,2031630,12058698,13238328,14614551,6684709,9044000
1476252028,1587015,15073780,7798879,5963913,2031649,11468842,15532089,655412
1476252029,1573072,7012589,15007854,8650786,6684766,11796519,0,0
1476252030,1573102,13566035,2490464,10616894,13893704,4325404,12255276,1114134
1476252031,1572894,3735618,3932212,13828149,6881302,12517414,12779539,8650779
1476252032,1573056,9109806,10289341,6488108,8650783,7143480,5898274,4849664
1476252033,1572910,8585342,6160470,8716320,9764895,16580649,6881301,4980744
1476252035,1572955,65720,12451948,3473433,5046333,4653087,8585254,11010066
1476252036,1573193,11993181,2425042,9175290,8716321,2752540,5046312,5963793
1476252037,1572864,0,0,0,0,0,0,0
1476252038,1572995,5898336,8192084,458777,16646184,11862043,2031639,11796489
1476252039,1572932,13041801,9044022,10879010,6750266,12451862,9175078,1638407
1476252040,1572978,3145820,0,0,0,0,0,0
1476252041,1572881,13959332,8912904,10092594,15728678,11730974,6815778,458761
1476252070,1572864,0,131072,196608,0,0,0,0
1476252071,1573600,16515439,0,0,0,0,0,0
1476252072,1577887,2490734,3604550,10027087,14483592,2687100,15859737,7864340
1476252073,1575787,8257627,1572888,2359363,10616883,5177358,3473413,1245186
1476252074,1576489,1442066,655450,12320768,0,0,0,0
1476252075,1575344,1508163,9044055,7929910,7602209,4784140,15269898,8716295
1476252076,1574832,7536808,9502729,5242883,13238280,13565958,1245191,1638401
1476252077,1574699,6291632,16,13041676,15400960,0,0,0
1476252078,1578224,2163148,5898308,196630,1703974,11730979,15859717,3473410
1476252079,1572869,7733250,262144,9633792,9175040,5701632,3145728,851968
1476252080,1572864,3866624,917504,196608,327680,131072,0,0
1476252081,1585113,7667849,11993213,6029521,7536683,4522039,5898255,7143428
1476252082,1573848,1638646,3407935,13631493,1572896,4915254,9830418,15007750
1476252083,1580831,5767647,15204435,9109663,2228366,12451936,7929932,13631488
1476252084,1583746,13633477,5636129,6816060,9765649,1704554,15466725,6357235
1476252086,1581180,3408127,15139276,1835424,4260021,14353001,9371978,3932565
1476252087,1575648,4194432,4522037,10682423,7077945,8716327,7733270,16515081
1476252088,1574912,0,0,0,0,0,0,0
1476252089,1574490,11076504,14877236,10223759,262250,3801168,16580705,1376285
1476252090,1580045,15794683,393244,16318616,9699683,7340163,3211288,7340078
1476252091,1573411,5767280,0,0,0,0,0,0
1476252092,1576540,1049137,8716357,524398,7929915,12910726,10747963,7405765
1476252093,1576877,8519733,15859810,3801170,5767210,7602216,8716300,196610
1476252094,1572864,131072,65536,65536,0,0,0,0
1476252095,1572864,0,0,0,0,0,65536,0
1476252096,1572865,4325376,1114112,917504,131072,327680,589824,196608
1476252097,1572906,8585218,13434881,15269888,16252928,0,0,0
1476252098,1572870,7864345,9502730,14680079,3473429,15728682,4390935,16187397
1476252099,1574157,10223760,15270006,13893700,11600002,1114347,1966249,14614625
1476252100,1574410,16122143,16515142,7864374,1310806,10944733,0,0
1476252101,1575606,5374312,1835065,7209031,13566017,3473573,3801133,16384048
1476252102,1573113,3997903,12386354,9502751,15859826,3539177,4391095,16580650
1476252103,1578996,1704193,10813529,2490522,3276836,16580907,8192125,131072
1476252104,1572927,7405687,14352407,2228294,6947048,327850,10158148,7209008
1476252106,1577092,6095335,262159,13697076,655456,2228321,13434945,16646165
1476252107,1576340,7471563,8716510,917597,5898517,6160628,2883692,10027185
1476252108,1577472,0,0,0,0,0,0,0
1476252109,1572864,0,0,131072,0,0,131072,0
1476252110,1572864,65536,65536,65536,0,65536,0,65536
1476252111,1572864,3604480,0,0,0,0,0,0
1476252112,1572934,7012357,7143427,4259844,6815745,2228225,15794176,13238272
1476252113,1572928,13893657,15794177,5439499,13565963,3342354,65550,14614533
1476252114,1573079,1638488,5373978,1376256,0,0,0,0
1476252115,1573004,2949145,6881284,14745600,14876675,9895942,11927559,14548994
1476252116,1575556,16580808,1703954,16711705,16384021,6750238,262225,14483476
1476252117,1573100,3735697,8781898,458851,14876672,0,0,0
1476252118,1572975,9568409,8454185,4980816,11730985,5439811,16253060,720997
1476252119,1574286,10944617,2162700,1572871,14811152,16515126,1114139,14680073
1476252120,1573261,12255282,12058634,13238311,458788,16580627,0,0
1476252121,1573116,458816,2818077,9240599,720938,12386344,9043978,7340040
1476252122,1575567,10813940,6553724,5439600,1179712,15859991,720965,11468863
1476252123,1572881,852150,16515249,2359379,5767217,8978578,3276947,1507328
1476252124,1575450,6357314,655424,1638436,7995551,9568545,11141205,16056356
1476252126,1572965,12058700,10879051,2097275,6619204,2621569,6357176,12714079
1476252127,1573889,6816284,11338005,11796603,13697166,11665576,7733330,7929939
1476252127,1580544,0,0,0,0,0,0,0
1476252128,1577898,9176137,5112175,1245665,8192247,10813618,9502937,5046326
1476252129,1578663,3278569,2163452,15466812,13893791,7405872,8585381,13959262
1476252130,1575811,5703032,0,0,0,0,0,0
1476252131,1572864,12976128,4915200,1441792,720896,393216,262144,131072
1476252132,1572864,0,65536,0,0,0,0,0
1476252133,1578503,4196096,10158291,11796480,0,0,0,0
1476252134,1578705,9177469,5375216,16517317,8194857,1575686,15007932,10748321
1476252135,1573407,2490759,4587843,1245529,4653429,13894047,13303904,5046318
1476252136,1580246,10551430,9371690,6619153,11927552,0,0,0
1476252137,1575093,262402,9830525,1835197,12255538,13893718,12320790,1900562
1476252138,1579095,12058980,1900596,3539147,12189761,11403345,7405604,14352405
1476252139,1573798,8126580,6422575,1179689,589847,4063274,0,0
1476252140,1572865,13041664,10944512,2359296,1507328,1638400,655360,458752
1476252141,1578072,7542342,12255954,14942451,12125097,16713117,5244105,2097869
1476252142,1574360,16318569,13566013,65582,5701655,15007751,2949131,12451840
