timestamp,delta,hiAlpha,hiBeta,loAlpha,loBeta,loGamma,midGamma,theta
1476251490,1579279,0,0,0,0,0,0,2033050
1476251491,1575166,15466536,10485783,524392,7930008,3932191,8978454,11798002
1476251492,1574214,7536651,1507338,2687014,2162712,851982,6946820,14942308
1476251493,1573391,14680064,0,12124193,0,0,0,8978511
1476251494,1575455,1179686,9961482,13500432,6094868,15007751,1245190,983382
1476251495,1573123,1507400,5767183,13631591,1572902,1114118,8126470,12583016
1476251496,1578788,9830553,0,16515082,851968,0,0,15663270
1476251497,1573856,11468836,1114120,13500423,14942220,7405573,11075589,5177440
1476251498,1577725,13369591,13500465,917846,11862043,2621465,9830414,9896345
1476251499,1576249,11993184,4194324,15007775,8388672,0,0,11075850
1476251500,1576838,10879045,11730977,2359863,3342383,7012362,7995408,6816109
1476251501,1581048,7078072,3080329,5243500,7602548,14155875,1966136,15338127
1476251502,1585196,11731174,2949270,16712054,10879578,16711789,4259840,3671261
1476251503,1583143,8781882,12648511,2883646,15466569,10813453,3145740,12583601
1476251505,1579767,11731004,12058648,3342401,131132,12058678,14221329,16450789
1476251506,1574561,5767204,14614536,4915233,8650766,7602180,13434882,12058690
1476251507,1574400,0,0,0,0,0,0,0
1476251508,1573356,16056330,12124173,10485783,16515111,6946817,14811138,13566269
1476251509,1580499,7209006,6553639,2752676,16056340,4849674,8257557,3539313
1476251510,1581623,0,0,0,0,0,0,10879437
1476251511,1576432,1769639,5767183,7077978,11796578,16121872,13697045,6554184
1476251512,1575400,3932523,12517414,589864,262175,13303827,393238,197153
1476251513,1573366,11534336,0,12255238,0,0,0,8716606
