timestamp,delta,hiAlpha,hiBeta,loAlpha,loBeta,loGamma,midGamma,theta
1476251935,1575793,2687150,13500618,4522051,9371718,9568327,11730968,4063876
1476251936,1578110,2164290,132241,329567,10683359,11993518,12517702,5899104
1476251937,1574400,0,0,0,0,0,0,0
1476251938,1574343,7536926,14942825,12322048,15795167,2884669,10420931,12655262
1476251939,1578819,14550496,4850359,9437235,5900492,12517732,13959318,4393539
1476251940,1579104,0,0,0,0,0,0,8257937
1476251941,1578612,2884017,1197,1704715,12190503,10748634,5308499,16518565
1476251942,1577171,11468812,8847377,3670029,9830416,11534353,14483470,11010152
1476251943,1578104,9437184,0,11862024,0,0,0,4850152
1476251944,1575029,5636170,12976159,10682477,3211300,65565,5767180,3801196
1476251945,1576224,11927639,12255273,5177405,5046308,2162716,11010063,10682736
1476251946,1574716,12255271,0,6291544,11665408,0,0,14418164
1476251947,1573428,15925290,6684694,3342377,9568274,6488107,5373960,16646459
1476251948,1574197,131087,11272232,3801183,2752559,14221332,14614538,12059304
1476251949,1573921,1572917,327736,11403312,3670100,0,0,12648672
1476251950,1573704,7667741,6684718,655505,852035,8192011,15204357,1769632
1476251951,1573758,2556104,11927599,6225952,8781876,524335,7077896,655462
1476251952,1574394,15532047,2424873,10158238,11534407,16515087,917504,15991009
1476251953,1573451,6160430,6488081,15139051,1835048,8781829,4390924,3473969
1476251955,1573176,6881354,2359325,5439683,10551334,1441807,3932183,13107462
1476251956,1573389,7209000,11927591,12910624,10420345,12582936,13303836,15532213
1476251957,1573376,0,0,0,0,0,0,0
1476251958,1575026,10027053,2555934,196676,5439520,524310,12517387,1769653
1476251959,1573446,3670075,8585289,12124176,15532077,6094897,9371689,3605400
1476251960,1573588,0,0,0,0,0,0,1376294
1476251961,1572947,14811181,12058703,327791,4325395,12451896,4784183,8913018
1476251962,1574357,10879027,1048605,9240580,5242887,3276834,9371678,7864418
1476251963,1573183,14614528,0,8323106,0,0,0,16318514
1476251964,1573153,8716344,196640,6422778,9699414,16318492,11534350,9568428
1476251965,1573263,3014665,6488089,13566216,2883637,4784155,4325392,3604584
1476251966,1573207,5636130,0,8716307,10878976,0,0,589912
1476251967,1573255,5832718,11206674,7995522,16384079,15597603,1310737,10813565
1476251968,1574298,1507401,14680205,8847409,12976212,10551440,14352420,9175395
1476251969,1572987,1179674,11927578,10420270,15925289,0,0,15138924
1476251970,1573592,16252993,10747970,6094891,5636131,10027023,8192017,1310829
1476251971,1573197,6815770,1245220,8060950,5308469,3538973,1114134,13762619
1476251972,1573318,655413,7667735,7274555,7929902,5439506,9109504,5111930
1476251973,1573061,12713999,6684691,13238338,131109,13041684,15269897,5505158
1476251975,1572922,1835014,524315,14,10092577,9633810,14614533,2621612
1476251976,1573201,15204505,393247,8323150,11927575,5242898,2555927,8060987
1476251977,1573376,0,0,0,0,0,0,0
1476251978,1573133,7798821,5373990,10158102,11403284,851978,8716305,13697034
1476251979,1574596,11141338,3276923,1310983,9044099,7995585,8781873,9175629
1476251980,1573232,0,0,0,0,0,0,5505057
1476251981,1573415,15466503,6029374,9830451,10944528,8388616,5767185,2687054
1476251982,1573300,14549004,8978455,5505069,5046288,1966096,15204361,3735621
1476251983,1573219,12320768,0,10551499,0,0,0,9896057
1476251984,1574325,2359406,13500439,16384087,12189763,12845077,13434893,9306487
1476251985,1573113,13303879,4784205,14483513,8585266,7536648,13500422,9896097
1476251986,1573042,12189763,0,12845342,1310720,0,0,11141277
1476251987,1573202,5374041,11534361,16515214,14483534,14352394,2162703,6750290
1476251988,1572946,11075607,131095,4390929,12976162,13434902,7274498,13172819
1476251989,1573002,10747943,9175076,11599908,5701646,0,0,8454263
1476251990,1573032,11403350,2031643,4587599,5242914,1769480,6553606,12189774
1476251991,1573284,6291537,9830427,11272246,2424851,2949155,16384033,8192156
1476251992,1572943,16384054,15073288,4784148,13434887,10223625,3735552,1179664
1476251993,1573030,8978531,16318494,10485812,8519717,12451856,15990796,11796676
1476251995,1575167,3605095,3801534,5046376,14877221,6291553,10813485,3081655
1476251996,1572908,852018,11141150,14221331,3211327,15466518,9764873,13632010
1476251997,1572864,0,0,0,0,0,0,0
1476251998,1572961,16646150,3473434,16253039,1376333,3080210,2949126,15138913
1476251999,1573052,15073554,720940,7602300,655407,7405582,9633802,3014692
1476252000,1575730,0,0,0,0,0,0,8585417
1476252001,1573318,1900659,1179717,8454161,14286897,14549027,9043989,10223985
1476252002,1573108,7078271,3473450,8257578,5505046,7405586,3866629,2621500
1476252003,1572945,2359296,0,12976540,0,0,0,13893742
1476252004,1573160,1703954,4063251,11468858,7864341,15859727,196616,1179695
1476252005,1572958,5308440,16318478,10354801,9306170,10289190,4980755,6225970
1476252006,1572971,9371704,0,720921,4849664,0,0,2555975
1476252007,1578702,14811263,1048667,2752543,6881463,14352423,14417942,4325677
1476252008,1573054,11141201,16711729,524322,5832827,15597590,7405583,2818435
1476252009,1573168,11534347,6946837,655400,1769501,0,0,9503188
1476252010,1575841,1572899,10682572,852302,6750496,3866670,15073325,1902118
1476252011,1572905,15597609,13893654,720940,12451875,14680082,16318472,12189748
1476252012,1572943,8126661,14942234,7602240,5308508,10223624,3604480,5439526
1476252013,1573010,9502790,9109523,10485774,15400998,4915223,3604490,12714070
1476252015,1573011,7798853,7602201,11796544,9044024,13238291,7864324,10551425
1476252016,1574182,458870,15597666,15073642,13435086,10682430,13238292,12976681
1476252017,1573120,0,0,0,0,0,0,0
1476252018,1572964,5898304,11141140,6619163,3145754,8323085,11075609,12976220
1476252019,1572901,3932187,10551322,10354746,3670112,2359316,13041672,9306169
1476252020,1573227,0,0,0,0,0,0,12779676
1476252021,1575640,6029744,10420294,917574,14221468,4849705,15007758,15532382
1476252022,1572966,15728696,65583,7471118,16515170,13107209,2818057,4653150
1476252023,1574110,10354688,0,3997754,0,0,0,2490628
1476252024,1572914,1179666,10354739,3932193,7733292,4456475,6881286,7078016
1476252025,1573408,6947000,13762648,15532067,8388763,10682384,12124169,8520455
1476252026,1573111,10092588,0,15400970,13565952,0,0,13762825
1476252027,1573014,12058698,14614551,2031630,13238328,6684709,9044000,14221405
1476252028,1587015,5963913,11468842,7798879,2031649,15532089,655412,15073780
1476252029,1573072,8650786,11796519,15007854,6684766,0,0,7012589
1476252030,1573102,10616894,4325404,2490464,13893704,12255276,1114134,13566035
1476252031,1572894,13828149,12517414,3932212,6881302,12779539,8650779,3735618
1476252032,1573056,6488108,7143480,10289341,8650783,5898274,4849664,9109806
1476252033,1572910,8716320,16580649,6160470,9764895,6881301,4980744,8585342
1476252035,1572955,3473433,4653087,12451948,5046333,8585254,11010066,65720
1476252036,1573193,9175290,2752540,2425042,8716321,5046312,5963793,11993181
1476252037,1572864,0,0,0,0,0,0,0
1476252038,1572995,458777,11862043,8192084,16646184,2031639,11796489,5898336
1476252039,1572932,10879010,12451862,9044022,6750266,9175078,1638407,13041801
1476252040,1572978,0,0,0,0,0,0,3145820
1476252041,1572881,10092594,11730974,8912904,15728678,6815778,458761,13959332
